asn,filtering,confidence,source,category
20009,unknown,1.0,APNIC,
20009,unknown,0.48387095,ROVISTA,
30119,unknown,1.0,APNIC,
30119,unknown,1.0,ROVISTA,
10753,unknown,1.0,APNIC,
10753,unknown,1.0,ROVISTA,
22925,unknown,1.0,APNIC,
22925,unknown,1.0,ROVISTA,
18943,unknown,1.0,APNIC,
18943,unknown,1.0,ROVISTA,
31811,unknown,1.0,APNIC,
14106,unknown,1.0,APNIC,
14106,unknown,0.9677419,ROVISTA,
395341,unknown,1.0,APNIC,
397041,unknown,1.0,APNIC,
397712,unknown,1.0,APNIC,
394497,unknown,1.0,APNIC,
394497,unknown,1.0,ROVISTA,
30083,unknown,1.0,APNIC,
30083,unknown,1.0,Friends,7
30083,unknown,1.0,ROVISTA,
53989,unknown,1.0,APNIC,
53989,unknown,0.61290324,ROVISTA,
40050,unknown,1.0,APNIC,
12,unknown,1.0,APNIC,
12,unknown,1.0,ROVISTA,
7385,unknown,1.0,APNIC,
30110,unknown,1.0,APNIC,
30110,unknown,1.0,ROVISTA,
393529,unknown,1.0,APNIC,
64294,unknown,1.0,APNIC,
54816,unknown,1.0,APNIC,
31978,unknown,1.0,APNIC,
31978,unknown,9.9,Friends,4
12175,unknown,1.0,APNIC,
397754,unknown,1.0,APNIC,
397754,unknown,1.0,ROVISTA,
2705,unknown,1.0,APNIC,
2705,unknown,0.9032258,ROVISTA,
26034,unknown,1.0,APNIC,
27338,unknown,1.0,APNIC,
36016,unknown,1.0,APNIC,
22746,unknown,1.0,APNIC,
22746,unknown,1.0,ROVISTA,
11607,unknown,1.0,APNIC,
11607,unknown,0.32258064,ROVISTA,
53435,unknown,1.0,APNIC,
16608,unknown,1.0,APNIC,
40156,unknown,1.0,APNIC,
40156,unknown,1.0,ROVISTA,
14263,unknown,1.0,APNIC,
3851,unknown,1.0,APNIC,
30165,unknown,1.0,APNIC,
30165,unknown,1.0,ROVISTA,
6389,unknown,1.0,APNIC,
6389,unknown,1.0,ROVISTA,
27254,unknown,1.0,APNIC,
27254,unknown,1.0,ROVISTA,
19006,unknown,1.0,APNIC,
400735,unknown,1.0,APNIC,
3379,unknown,1.0,APNIC,
3379,unknown,0.9354838999999999,ROVISTA,
21777,unknown,1.0,APNIC,
21777,unknown,1.0,ROVISTA,
11353,unknown,1.0,APNIC,
11353,unknown,0.16129032,ROVISTA,
400385,unknown,1.0,APNIC,
20452,unknown,1.0,APNIC,
20452,unknown,1.0,ROVISTA,
14543,unknown,1.0,APNIC,
14543,unknown,1.0,ROVISTA,
21541,unknown,1.0,APNIC,
21541,unknown,1.0,ROVISTA,
14574,unknown,1.0,APNIC,
22070,unknown,1.0,APNIC,
22070,unknown,1.0,ROVISTA,
13824,unknown,1.0,APNIC,
13824,unknown,1.0,ROVISTA,
53587,unknown,1.0,APNIC,
53587,unknown,1.0,ROVISTA,
31998,unknown,1.0,APNIC,
31998,unknown,1.0,ROVISTA,
21921,unknown,1.0,APNIC,
21921,unknown,1.0,ROVISTA,
53586,unknown,1.0,APNIC,
53586,unknown,1.0,ROVISTA,
395927,unknown,1.0,APNIC,
395927,unknown,1.0,ROVISTA,
46592,unknown,1.0,APNIC,
22051,unknown,1.0,APNIC,
22051,unknown,1.0,ROVISTA,
5760,unknown,1.0,APNIC,
5760,unknown,1.0,ROVISTA,
25779,unknown,1.0,APNIC,
25779,unknown,1.0,ROVISTA,
50770,unknown,1.0,APNIC,
25780,unknown,1.0,APNIC,
25780,unknown,1.0,ROVISTA,
53340,unknown,1.0,APNIC,
53340,unknown,1.0,ROVISTA,
399325,unknown,1.0,APNIC,
29804,unknown,1.0,APNIC,
62511,unknown,1.0,APNIC,
26247,unknown,1.0,APNIC,
122,unknown,1.0,APNIC,
22561,unknown,1.0,APNIC,
22561,unknown,1.0,ROVISTA,
159,unknown,1.0,APNIC,
159,unknown,0.41935482999999996,ROVISTA,
46830,unknown,1.0,APNIC,
1416,unknown,1.0,APNIC,
394446,unknown,1.0,APNIC,
394446,unknown,1.0,ROVISTA,
397710,unknown,1.0,APNIC,
395494,unknown,1.0,APNIC,
26463,unknown,1.0,APNIC,
16739,unknown,1.0,APNIC,
399821,unknown,1.0,APNIC,
36728,unknown,1.0,APNIC,
36728,unknown,1.0,ROVISTA,
13876,unknown,1.0,APNIC,
13876,unknown,0.9354838999999999,ROVISTA,
12145,unknown,1.0,APNIC,
12145,unknown,1.0,ROVISTA,
393856,unknown,1.0,APNIC,
393856,unknown,1.0,ROVISTA,
6640,unknown,1.0,APNIC,
6640,unknown,1.0,ROVISTA,
62579,unknown,1.0,APNIC,
62579,unknown,0.87096775,ROVISTA,
22442,unknown,1.0,APNIC,
22442,unknown,1.0,ROVISTA,
600,unknown,1.0,APNIC,
600,unknown,0.5483871,ROVISTA,
73,unknown,1.0,APNIC,
13853,unknown,1.0,APNIC,
13853,unknown,1.0,ROVISTA,
33574,unknown,1.0,APNIC,
17025,unknown,1.0,APNIC,
17025,unknown,1.0,ROVISTA,
7968,unknown,1.0,APNIC,
104,unknown,1.0,APNIC,
104,unknown,9.9,Friends,5
393455,unknown,1.0,APNIC,
393455,unknown,0.9230769,ROVISTA,
25853,unknown,1.0,APNIC,
25853,unknown,0.6451613,ROVISTA,
12282,unknown,1.0,APNIC,
12282,unknown,1.0,ROVISTA,
22280,unknown,1.0,APNIC,
6966,unknown,1.0,APNIC,
6966,unknown,0.9354838999999999,ROVISTA,
31920,unknown,1.0,APNIC,
31920,unknown,1.0,ROVISTA,
397347,unknown,1.0,APNIC,
19247,unknown,1.0,APNIC,
19247,unknown,1.0,ROVISTA,
7743,unknown,1.0,APNIC,
7743,unknown,0.9354838999999999,ROVISTA,
2902,unknown,1.0,APNIC,
3112,unknown,1.0,APNIC,
3112,unknown,0.4516129,ROVISTA,
394699,unknown,1.0,APNIC,
11232,unknown,0.9998999999999999,APNIC,
11232,unknown,1.0,Friends,7
11232,unknown,0.2580645,ROVISTA,
4181,unknown,0.9994,APNIC,
4181,unknown,1.0,Friends,7
4181,unknown,1.0,ROVISTA,
19901,unknown,0.9992,APNIC,
19901,unknown,9.9,Friends,4
7018,unknown,0.9992,APNIC,
7018,unknown,1.0,Friends,3
7018,unknown,1.0,ROVISTA,
17253,unknown,0.9990000000000001,APNIC,
17253,unknown,1.0,ROVISTA,
7922,unknown,0.9989,APNIC,
7922,unknown,1.0,Friends,3
